name,authors,description
"Tools of Titans: The Tactics, Routines, and Habits of Billionaires, Icons, and World-Class Performers","{""Timothy Ferriss""}","<DIV><B>The latest groundbreaking tome from Tim Ferriss, the #1 </B><I><B>New York Times </B></I><B>best-selling author of </B><I><B>The 4-Hour Workweek</B></I><B>.</B><BR />  <BR /><B>From the author:</B><BR />  <BR /> “For the last two years, I’ve interviewed nearly two hundred world-class performers for my podcast, <I>The Tim Ferriss Show. </I>The guests range from super celebs (Jamie Foxx, Arnold Schwarzenegger, etc.) and athletes (icons of powerlifting, gymnastics, surfing, etc.) to legendary Special Operations commanders and black-market biochemists. For most of my guests, it’s the first time they’ve agreed to a two-to-three-hour interview, and the show is on the cusp of passing 100 million downloads.<BR />  <BR /> “This book contains the distilled tools, tactics, and ‘inside baseball’ you won’t find anywhere else. It also includes new tips from past guests, and life lessons from new ‘guests’ you haven’t met.<BR />  <BR /> “What makes the show different is a relentless focus on actionable details. This is reflected in the questions. For example: What do these people do in the first sixty minutes of each morning? What do their workout routines look like, and why? What books have they gifted most to other people? What are the biggest wastes of time for novices in their field? What supplements do they take on a daily basis?<BR />  <BR /> “I don’t view myself as an interviewer. I view myself as an experimenter. If I can’t test something and replicate results in the messy reality of everyday life, I’m not interested.<BR />  <BR /> “Everything within these pages has been vetted, explored, and applied to my own life in some fashion. I’ve used dozens of the tactics and philosophies in high-stakes negotiations, high-risk environments, or large business dealings. The lessons have made me millions of dollars and saved me years of wasted effort and frustration.<BR />  <BR /> “I created this book, my ultimate notebook of high-leverage tools, for myself. It’s changed my life, and I hope the same for you.”</DIV>"
Sapiens: A Brief History of Humankind,"{""Yuval Noah Harari""}","<p><strong><em>New York Times</em> Bestseller</strong></p><p><strong>A Summer Reading Pick for President Barack Obama, Bill Gates, and Mark Zuckerberg </strong></p><p>From a renowned historian comes a groundbreaking narrative of humanity’s creation and evolution—a #1 international bestseller—that explores the ways in which biology and history have defined us and enhanced our understanding of what it means to be “human.”</p><p>One hundred thousand years ago, at least six different species of humans inhabited Earth. Yet today there is only one—homo sapiens. What happened to the others? And what may happen to us?</p><p>Most books about the history of humanity pursue either a historical or a biological approach, but Dr. Yuval Noah Harari breaks the mold with this highly original book that begins about 70,000 years ago with the appearance of modern cognition. From examining the role evolving humans have played in the global ecosystem to charting the rise of empires, <em>Sapiens</em> integrates history and science to reconsider accepted narratives, connect past developments with contemporary concerns, and examine specific events within the context of larger ideas.</p><p>Dr. Harari also compels us to look ahead, because over the last few decades humans have begun to bend laws of natural selection that have governed life for the past four billion years. We are acquiring the ability to design not only the world around us, but also ourselves. Where is this leading us, and what do we want to become?</p><p>Featuring 27 photographs, 6 maps, and 25 illustrations/diagrams, this provocative and insightful work is sure to spark debate and is essential reading for aficionados of Jared Diamond, James Gleick, Matt Ridley, Robert Wright, and Sharon Moalem.</p><p><strong>An Amazon Best Book of the Month for February 2015:</strong> Yuval Noah Harari has some questions. Among the biggest: <em>How did</em> Homo sapiens <em>(or</em> Homo sapiens sapiens <em>, if you’re feeling especially wise today) evolve from an unexceptional savannah-dwelling primate to become the dominant force on the planet, emerging as the lone survivor out of six distinct, competing hominid species?</em> He also has some answers, and they’re not what you’d expect. Tackling evolutionary concepts from a historian’s perspective, <em>Sapiens: A Brief History of Humankind</em>, describes human development through a framework of three not-necessarily-orthodox “Revolutions”: the Cognitive, the Agricultural, and the Scientific. His ideas are interesting and often amusing: <em>Why have humans managed to build astonishingly large populations when other primate groups top out at 150 individuals?</em> Because our talent for gossip allows us to build networks in societies too large for personal relationships between everyone, and our universally accepted “imagined realities”--such as money, religion, and Limited Liability Corporations—keep us in line.  <em>Who cultivated whom, humans or wheat?</em>. Wheat. Though the concepts are unusual and sometimes heavy (as is the book, literally) Harari’s deft prose and wry, subversive humor make quick work of material prone to academic tedium. He’s written a book of popular nonfiction (it was a bestseller overseas, no doubt in part because his conclusions draw controversy) landing somewhere in the middle of a Venn diagram of genetics, sociology, and history. Throughout, Harari returns frequently to another question: <em>Does all this progress make us happier, our lives easier?</em> The answer might disappoint you. --<em>Jon Foro</em></p>"
The Alchemist,"{""Paulo Coelho""}","<p>A special 25th anniversary edition of the extraordinary international bestseller, including a new Foreword by Paulo Coelho.</p><p>Combining magic, mysticism, wisdom and wonder into an inspiring tale of self-discovery, <em>The Alchemist</em> has become a modern classic, selling millions of copies around the world and transforming the lives of countless readers across generations.</p><p>Paulo Coelho's masterpiece tells the mystical story of Santiago, an Andalusian shepherd boy who yearns to travel in search of a worldly treasure. His quest will lead him to riches far different—and far more satisfying—than he ever imagined. Santiago's journey teaches us about the essential wisdom of listening to our hearts, of recognizing opportunity and learning to read the omens strewn along life's path, and, most importantly, to follow our dreams.</p>Like the one-time bestseller <I>Jonathan Livingston Seagull</I>, <i>The Alchemist</i> presents a simple fable, based on simple truths and places it in a highly unique situation. And though we may sniff a bestselling formula, it is certainly not a new one: even the ancient tribal storytellers knew that this is the most successful method of entertaining an audience while slipping in a lesson or two. Brazilian storyteller Paulo Coehlo introduces Santiago, an Andalusian shepherd boy who one night dreams of a distant treasure in the Egyptian pyramids. And so he's off: leaving Spain to literally follow his dream. <p>  Along the way he meets many spiritual messengers, who come in unassuming forms such as a camel driver and a well-read Englishman. In one of the Englishman's books, Santiago first learns about the alchemists--men who believed that if a metal were heated for many years, it would free itself of all its individual properties, and what was left would be the ""Soul of the World."" Of course he does eventually meet an alchemist, and the ensuing student-teacher relationship clarifies much of the boy's misguided agenda, while also emboldening him to stay true to his dreams. ""My heart is afraid that it will have to suffer,"" the boy confides to the alchemist one night as they look up at a moonless night. <p>  ""Tell your heart that the fear of suffering is worse than the suffering itself,"" the alchemist replies. ""And that no heart has ever suffered when it goes in search of its dreams, because every second of the search is a second's encounter with God and with eternity."" <i>--Gail Hudson</i>"
Shoe Dog: A Memoir by the Creator of Nike,"{""Phil Knight""}","In this candid and riveting memoir, for the first time ever, Nike founder and board chairman Phil Knight shares the inside story of the company’s early days as an intrepid start-up and its evolution into one of the world’s most iconic, game-changing, and profitable brands.<BR><BR>Young, searching, fresh out of business school, Phil Knight borrowed fifty dollars from his father and launched a company with one simple mission: import high-quality, low-cost running shoes from Japan. Selling the shoes from the trunk of his Plymouth Valiant, Knight grossed eight thousand dollars that first year, 1963. Today, Nike’s annual sales top $30 billion. In this age of start-ups, Knight’s Nike is the gold standard, and its swoosh is more than a logo. A symbol of grace and greatness, it’s one of the few icons instantly recognized in every corner of the world.<BR> <BR>But Knight, the man behind the swoosh, has always been a mystery. Now, in a memoir that’s surprising, humble, unfiltered, funny, and beautifully crafted, he tells his story at last. It all begins with a classic crossroads moment. Twenty-four years old, backpacking through Asia and Europe and Africa, wrestling with life’s Great Questions, Knight decides the unconventional path is the only one for him. Rather than work for a big corporation, he will create something all his own, something new, dynamic, different. Knight details the many terrifying risks he encountered along the way, the crushing setbacks, the ruthless competitors, the countless doubters and haters and hostile bankers—as well as his many thrilling triumphs and narrow escapes. Above all, he recalls the foundational relationships that formed the heart and soul of Nike, with his former track coach, the irascible and charismatic Bill Bowerman, and with his first employees, a ragtag group of misfits and savants who quickly became a band of swoosh-crazed brothers.<BR> <BR>Together, harnessing the electrifying power of a bold vision and a shared belief in the redemptive, transformative power of sports, they created a brand, and a culture, that changed everything."
Steve Jobs,"{""Walter Isaacson""}","<strong>Amazon Best Books of the Month, November 2011</strong>: It is difficult to read the opening pages of Walter Isaacson’s <em>Steve Jobs</em> without feeling melancholic. Jobs retired at the end of August and died about six weeks later. Now, just weeks after his death, you can open the book that bears his name and read about his youth, his promise, and his relentless press to succeed. But the initial sadness in starting the book is soon replaced by something else, which is the intensity of the read--mirroring the intensity of Jobs’s focus and vision for his products. Few in history have transformed their time like Steve Jobs, and one could argue that he stands with the Fords, Edisons, and Gutenbergs of the world. This is a timely and complete portrait that pulls no punches and gives insight into a man whose contradictions were in many ways his greatest strength. <em>--Chris Schluep</em><br/>  <br/> <br/>  <p><span class=""h1""><strong> Amazon Exclusive: A Q&A with Walter Isaacson </strong></span><br /><span class=""h1""><strong> </strong></span><img height=""300"" src="" https://images-na.ssl-images-amazon.com/images/G/01/SIMON/IsaacsonWalter._V164348457_.jpg"" style=""float: right;"" width=""450"" /></p>  <p><strong>Q:</strong> It's becoming well known that Jobs was able to create his Reality Distortion Field when it served him. Was it difficult for you to cut through the RDF and get beneath the narrative that he created? How did you do it? </p>  <p><strong>Isaacson:</strong> Andy Hertzfeld, who worked with Steve on the original Macintosh team, said that even if you were aware of his Reality Distortion Field, you still got caught up in it. But that is why Steve was so successful: He willfully bent reality so that you became convinced you could do the impossible, so you did. I never felt he was intentionally misleading me, but I did try to check every story. I did more than a hundred interviews. And he urged me not just to hear his version, but to interview as many people as possible. It was one of his many odd contradictions: He could distort reality, yet he was also brutally honest most of the time. He impressed upon me the value of honesty, rather than trying to whitewash things.</p>  <p><strong>Q:</strong> How were the interviews with Jobs conducted? Did you ask lots of questions, or did he just talk? </p>  <p><strong>Isaacson:</strong> I asked very few questions. We would take long walks or drives, or sit in his garden, and I would raise a topic and let him expound on it. Even during the more formal sessions in his living room, I would just sit quietly and listen. He loved to tell stories, and he would get very emotional, especially when talking about people in his life whom he admired or disdained.</p>  <p><strong>Q:</strong> He was a powerful man who could hold a grudge. Was it easy to get others to talk about Jobs willingly? Were they afraid to talk? </p>  <p><strong>Isaacson:</strong> Everyone was eager to talk about Steve. They all had stories to tell, and they loved to tell them. Even those who told me about his rough manner put it in the context of how inspiring he could be.</p>  <p><strong>Q:</strong> Jobs embraced the counterculture and Buddhism. Yet he was a billionaire businessman with his own jet. In what way did Jobs' contradictions contribute to his success?</p>  <p><strong>Isaacson:</strong> Steve was filled with contradictions. He was a counterculture rebel who became a billionaire. He eschewed material objects yet made objects of desire. He talked, at times, about how he wrestled with these contradictions. His counterculture background combined with his love of electronics and business was key to the products he created. They combined artistry and technology. </p>  <p><strong>Q:</strong> Jobs could be notoriously difficult. Did you wind up liking him in the end? </p>  <p><strong>Isaacson:</strong> Yes, I liked him and was inspired by him. But I knew he could be unkind and rough. These things can go together. When my book first came out, some people skimmed it quickly and cherry-picked the examples of his being rude to people. But that was only half the story. Fortunately, as people read the whole book, they saw the theme of the narrative: He could be petulant and rough, but this was driven by his passion and pursuit of perfection. He liked people to stand up to him, and he said that brutal honesty was required to be part of his team. And the teams he built became extremely loyal and inspired. </p>  <p><strong>Q:</strong> Do you believe he was a genius? </p>  <p><strong>Isaacson:</strong> He was a genius at connecting art to technology, of making leaps based on intuition and imagination. He knew how to make emotional connections with those around him and with his customers.</p>  <p><strong>Q:</strong> Did he have regrets? </p>  <p><strong>Isaacson:</strong> He had some regrets, which he expressed in his interviews. For example, he said that he did not handle well the pregnancy of his first girlfriend. But he was deeply satisfied by the creativity he ingrained at Apple and the loyalty of both his close colleagues and his family.</p>  <p><strong>Q:</strong> What do you think is his legacy?</p>  <p><strong>Isaacson:</strong> His legacy is transforming seven industries: personal computers, animated movies, music, phones, tablet computing, digital publishing, and retail stores. His legacy is creating what became the most valuable company on earth, one that stood at the intersection of the humanities and technology, and is the company most likely still to be doing that a generation from now. His legacy, as he said in his ""Think Different"" ad, was reminding us that the people who are crazy enough to think they can change the world are the ones who do.</p>  <p> <b>Photo credit:</b> Patrice Gilbert Photography</p>"
Steal Like an Artist: 10 Things Nobody Told You About Being Creative,"{""Austin Kleon""}","<DIV>You don’t need to be a genius, you just need to be yourself. That’s the message from Austin Kleon, a young writer and artist who knows that creativity is everywhere, creativity is for everyone. A manifesto for the digital age, <I>Steal Like an Artist</I> is a guide whose positive message, graphic look and illustrations, exercises, and examples will put readers directly in touch with their artistic side.<BR /><BR /> When Mr. Kleon was asked to address college students in upstate New York, he shaped his speech around the ten things he wished someone had told him when he was starting out. The talk went viral, and its author dug deeper into his own ideas to create <I>Steal Like an Artist</I>, the book. The result is inspiring, hip, original, practical, and entertaining. And filled with new truths about creativity: Nothing is original, so embrace influence, collect ideas, and remix and re-imagine to discover your own path. Follow your interests wherever they take you. Stay smart, stay out of debt, and risk being boring—the creative you will need to make room to be wild and daring in your imagination.</DIV>"
Siddhartha,"{""Hermann Hesse""}","In the novel, <i>Siddhartha</i>, a young man, leaves his family for a contemplative life, then, restless, discards it for one of the flesh. He conceives a son, but bored and sickened by lust and greed, moves on again. Near despair, Siddhartha comes to a river where he hears a unique sound. This sound signals the true beginning of his life -- the beginning of suffering, rejection, peace, and, finally, wisdom.In the shade of a banyan tree, a grizzled ferryman sits listening to the  river. Some say he's a sage. He was once a wandering shramana and, briefly, like  thousands of others, he followed Gotama the Buddha, enraptured by his sermons.  But this man, Siddhartha, was not a follower of any but his own soul. Born the  son of a Brahmin, Siddhartha was blessed in appearance, intelligence, and  charisma. In order to find meaning in life, he discarded his promising future  for the life of a wandering ascetic. Still, true happiness evaded him. Then a  life of pleasure and titillation merely eroded away his spiritual gains until he  was just like all the other ""child people,"" dragged around by his desires. Like  Hermann Hesse's other creations of struggling young men, <I>Siddhartha</I> has a  good dose of European angst and stubborn individualism. His final epiphany  challenges both the Buddhist and the Hindu ideals of enlightenment. Neither a  practitioner nor a devotee, neither meditating nor reciting, Siddhartha comes to  blend in with the world, resonating with the rhythms of nature, bending the  reader's ear down to hear answers from the river. In this translation Sherab  Chodzin Kohn captures the slow, spare lyricism of Siddhartha's search, putting  her version on par with Hilda Rosner's standard edition. <I>--Brian Bruya</I>"
Crush It!: Why NOW Is the Time to Cash In on Your Passion,"{""Gary Vaynerchuk""}","<p>Do you have a hobby you wish you could indulge in all day? An obsession that keeps you up at night? Now is the perfect time to take that passion and make a living doing what you love. In <em>Crush It!</em> Why NOW Is the Time to Cash In on Your Passion, Gary Vaynerchuk shows you how to use the power of the Internet to turn your real interests into real businesses. Gary spent years building his family business from a local wine shop into a national industry leader. Then one day he turned on a video camera, and by using the secrets revealed here, transformed his entire life and earning potential by building his personal brand. By the end of this book, readers will have learned how to harness the power of the Internet to make their entrepreneurial dreams come true. Step by step, <em>Crush It!</em> is the ultimate driver’s manual for modern business.</p><p align=""left""><span class=""h1""><strong>The Story Behind <em>Crush it!</em></strong></span></p> <p><img align=""right"" border=""0"" hspace=""5""   src=""https://images-na.ssl-images-amazon.com/images/G/01/books/harpercollins-ems/vaynerchuk-250.jpg""   vspace=""5"" /> Everything has changed. The social media revolution has irreversibly changed the   way we live our lives and conduct our business. There are billions of dollars in advertising   moving online, waiting to be claimed by whoever can build the best content and communities.   Despite this change, most people keep working at jobs that don’t make them happy and   businesses continue to ignore the major marketing and public relations benefits that can be   found online. <br /></p> <p><strong>Myth #1: </strong><em>I’m not passionate about something sexy or popular like   wine so these lessons don’t apply to me. </em><br /></p> <p>The internet has drastically decreased the costs of building communities around niche   subjects, allowing for even the most obscure subjects to draw enough eyeballs to command   advertising attention. Starting a video blog about tortilla chips may seem farfetched until   Doritos gives you a call and offers 40,000 a year to sponsor and advertise on your blog. <br   /></p> <p><strong>Myth #2:</strong> <em>My business already has a Twitter account and a Facebook page,   we’re set in the social media department. </em><br /></p> <p>This is the equivalent of claiming twenty years ago that just because your business bought a   TV spot and a few ads in the newspaper, you didn’t need to pay attention to your   advertising department. Social media isn’t about joining in, it’s about being   involved. <br /></p> <p><strong>Myth #3:</strong> <em>I’m happy at my job so this book is irrelevant to   me.</em> <br /></p> <p>First of all, congratulations on finding work that makes you happy! However, the lessons in   this book are valuable to anyone, regardless of their employment status. <em>Crush It</em> will   show you how to utilize high level and platform specific social media and marketing strategies   that will improve your work. It will also show you how to build a personal brand so that even if   you’re forced to leave your job, a situation that’s especially relevant today,   you’ll be able to easily find employment elsewhere in a field you’re passionate   about. <br /></p> <p><strong>Myth #4:</strong> <em>I need to quit my job to take advantage of this book’s   entrepreneurial lessons. </em><br /></p> <p>While the entrepreneurial strategies in this book do take time, it’s completely   reasonable to start the effort as an after-work project to build up until you’re able to   replace your current income with the income from your online presence. While you may have to   fall behind on the current season of Lost or let your Madden 2010 game suffer, because   you’ll be doing something you love you won’t mind putting in the extra effort. <br   /></p> <p>In <em>Crush It</em>, Gary Vaynerchuk shows how anyone can build a career around what   they’re passionate about. He also delivers both high-level and platform specific strategy   and analysis, allowing you to take advantage of the current business environment while preparing   you to succeed as it changes and evolves. <br /></p> <p>This book isn’t interested in making unrealistic promises while glossing over the work   involved. Making a living by building content around your passion isn’t simple and it   doesn’t happen overnight. What it is, however, is fulfilling and in most cases just as   profitable, if not more so, than your previous job. <br /></p> <p>Furthermore, a business can’t just pay lip service to social media and expect it to   return results. The transparency and accountability inherent in its structure necessitates a   comprehensive and dedicated strategy in order to reap its tremendous benefits. <br /></p> <p>By combining practical analysis and strategy with the same passion and humor that’s   made Gary one of the most in demand keynote speakers in the U.S. as well as network   television’s go to wine expert, <em>Crush It</em> is essential reading for anyone who   wants to understand and harness the future of business and work. <br /></p> <p><strong>Learn: </strong>Why social media has evened the playing field, destroying the   “gate-keepers” who had previously dictated the distribution of content.</p> <p><strong>Learn:</strong> How to beat unemployment and create wealth-building opportunities by   building and maintaining a personal brand. <br /></p> <p><strong>Learn:</strong> Why storytelling is the most important business concept in the   current marketplace. <br /></p> <p><strong>Learn:</strong> How you can build an online business around your passion without   quitting your day job. <br /></p> <p><strong>Learn:</strong> Why Twitter and Facebook are just tools and not a social media   strategy. <br /></p> <p><strong>Learn:</strong> How to take advantage of the half-billion dollars in advertising that   are moving to the internet. <br /></p> <p><strong>Learn:</strong> Why transparency and being true to yourself are now winning marketing   formulas. <br /></p> <p><strong>Learn:</strong> How to build and maintain an online community around your passion and   brand. <br /></p> <p><strong>Learn:</strong> Strategies for turning attention into money. <br /></p> <p><strong>Learn:</strong> Why the legacy element of the internet era is so underrated.</p>"
The Obstacle Is the Way: The Timeless Art of Turning Trials into Triumph,"{""Ryan Holiday""}","<p><b><i>The Obstacle is the Way</i> has become a cult classic, beloved by men and women around the world who apply its wisdom to become more successful at whatever they do. <br></b><br>Its many fans include a former governor and movie star (Arnold Schwarzenegger), a hip hop icon (LL Cool J), an Irish tennis pro (James McGee), an NBC sportscaster (Michele Tafoya), and the coaches and players of winning teams like the New England Patriots, Seattle Seahawks, Chicago Cubs, and University of Texas men’s basketball team.<br><br>The book draws its inspiration from stoicism, the ancient Greek philosophy of enduring pain or adversity with perseverance and resilience. Stoics focus on the things they <i>can</i> control, let go of everything else, and turn every new obstacle into an opportunity to get better, stronger, tougher. As Marcus Aurelius put it nearly 2000 years ago: “The impediment to action advances action. What stands in the way becomes the way.” <br><br>Ryan Holiday shows us how some of the most successful people in history—from John D. Rockefeller to Amelia Earhart to Ulysses S. Grant to Steve Jobs—have applied stoicism to overcome difficult or even impossible situations. Their embrace of these principles ultimately mattered more than their natural intelligence, talents, or luck.<br><br>If you’re feeling frustrated, demoralized, or stuck in a rut, this book can help you turn your problems into your biggest advantages. And along the way it will inspire you with dozens of true stories of the greats from every age and era.</p>"
"The 4 Hour Body: An Uncommon Guide to Rapid Fat Loss, Incredible Sex and Becoming Superhuman","{""Timothy Ferriss""}","Thinner, bigger, faster, stronger... which 150 pages will you read?<br><br>Is it possible to:<br> Reach your genetic potential in 6 months?<br> Sleep 2 hours per day and perform better than on 8 hours?<br> Lose more fat than a marathoner by bingeing?<br> <br> Indeed, and much more. This is not just another diet and fitness book.<br> <br> <i>The 4-Hour Body</i> is the result of an obsessive quest, spanning more than a decade, to hack the human body. It contains the collective wisdom of hundreds of elite athletes, dozens of MDs, and thousands of hours of jaw-dropping personal experimentation. From Olympic training centers to black-market laboratories, from Silicon Valley to South Africa, Tim Ferriss, the #1 <i>New York Times</i> bestselling author of <i>The 4-Hour Workweek,</i> fixated on one life-changing question: <br> <br> For all things physical, what are the tiniest changes that produce the biggest results?<br> <br> Thousands of tests later, this book contains the answers for both men and women. From the gym to the bedroom, it’s all here, and it all works.<br><br> You Will Learn (in less than 30 minutes each):<br>* How to lose those last 5-10 pounds (or 100+ pounds) with odd combinations of food and safe chemical cocktails. <br>* How to prevent fat gain while bingeing (X-mas, holidays, weekends) <br>* How to increase fat-loss 300% with a few bags of ice <br>* How Tim gained 34 pounds of muscle in 28 days, without steroids, and in four hours of <i>total</i> gym time <br>* How to sleep 2 hours per day and feel fully rested <br>* How to produce 15-minute female orgasms <br>* How to triple testosterone and double sperm count<br>* How to go from running 5 kilometers to 50 kilometers in 12 weeks <br>* How to reverse “permanent” injuries <br>* How to add 150+ pounds to your lifts in 6 months <br>* How to pay for a beach vacation with one hospital visit<br>         <br> And that's just the tip of the iceberg.  There are more than 50 topics covered, all with real-world experiments, many including more than 200 test subjects.<br> <br> You don't need better genetics or more discipline. You need immediate results that compel you to continue.<br> <br> That’s exactly what <i>The 4-Hour Body</i> delivers."
